tahun,komponen,kategori,nilai
2025,Potensi Awal,penambah,8262107764153
2025,R4,penambah,138533854000
2025,R2,penambah,103034228000
2025,Tunggakan,penambah,229359848650
2025,Mutasi Masuk,penambah,45429360250
2025,TDR,pengurang,1182307621050
2025,Mutasi Keluar,pengurang,72411440751
2025,Pembebasan,pengurang,32556881566
2025,Target,target,7550000000000
2026,Potensi Awal,penambah,7600152099181
2026,R4,penambah,131146056000
2026,R2,penambah,100424714000
2026,Tunggakan,penambah,458719697300
2026,Mutasi Masuk,penambah,182292159100
2026,TDR,pengurang,1064021293885
2026,Mutasi Keluar,pengurang,173135221543
2026,Pembebasan,pengurang,0
2026,Target,target,7600000000000
